municipality,muni_lat,muni_lon,grid_lat,grid_lon,grid_dist_km,hs_valid_frac,ssh_valid_frac,data_quality,coord_source
Araquari,-26.37,-48.72,-26.600000381469727,-48.600006103515625,28.8,1.0,1.0,ok,hardcoded
Araranguá,-28.94,-49.5,-29.0,-49.399993896484375,12.95,1.0,1.0,ok,hardcoded
Balneário Arroio do Silva,-28.97,-49.4,-29.0,-49.399993896484375,3.33,1.0,1.0,ok,hardcoded
Balneário Barra do Sul,-26.46,-48.6,-26.600000381469727,-48.600006103515625,15.54,1.0,1.0,ok,hardcoded
Balneário Camboriú,-26.99,-48.63,-27.0,-48.399993896484375,25.55,1.0,1.0,ok,hardcoded
Balneário Gaivota,-29.17,-49.56,-29.200000762939453,-49.399993896484375,18.07,1.0,1.0,ok,hardcoded
Balneário Piçarras,-26.77,-48.66,-26.600000381469727,-48.600006103515625,20.01,1.0,1.0,ok,hardcoded
Balneário Rincão,-28.84,-49.23,-29.0,-49.20001220703125,18.07,1.0,1.0,ok,hardcoded
Barra Velha,-26.63,-48.68,-26.600000381469727,-48.600006103515625,9.48,1.0,1.0,ok,hardcoded
Bombinhas,-27.13,-48.5,-27.200000762939453,-48.399993896484375,13.55,1.0,1.0,ok,hardcoded
Florianópolis,-27.6,-48.55,-27.600000381469727,-48.399993896484375,16.65,1.0,1.0,ok,hardcoded
Garopaba,-28.02,-48.62,-28.200000762939453,-48.600006103515625,20.1,1.0,1.0,ok,hardcoded
Itajaí,-26.91,-48.66,-27.0,-48.399993896484375,30.54,1.0,1.0,ok,hardcoded
Itapema,-27.09,-48.61,-27.0,-48.399993896484375,25.36,1.0,1.0,ok,hardcoded
Itapoá,-26.11,-48.62,-26.200000762939453,-48.399993896484375,26.38,1.0,1.0,ok,hardcoded
Içara/Balneário Rincão,-28.84,-49.23,-29.0,-49.20001220703125,18.07,1.0,1.0,ok,hardcoded
Navegantes,-26.9,-48.65,-27.0,-48.399993896484375,29.89,1.0,1.0,ok,hardcoded
Palhoça,-27.65,-48.67,-27.600000381469727,-48.399993896484375,30.48,1.0,1.0,ok,hardcoded
Passo de Torres,-29.36,-49.73,-29.399999618530273,-49.600006103515625,15.1,1.0,1.0,ok,hardcoded
Penha,-26.77,-48.65,-26.600000381469727,-48.600006103515625,19.67,1.0,1.0,ok,hardcoded
Porto Belo,-27.16,-48.54,-27.200000762939453,-48.399993896484375,16.16,1.0,1.0,ok,hardcoded
São Francisco do Sul,-26.24,-48.64,-26.200000762939453,-48.399993896484375,27.01,1.0,1.0,ok,hardcoded
Tijucas,-27.24,-48.64,-27.200000762939453,-48.399993896484375,27.01,1.0,1.0,ok,hardcoded
